missing data:, sediment, on date:, 1,4,2005, filled with average monthly concentration (mg/L):, 46.3281, to get load of (kg/d):, 4681.1539 
missing data:, sediment, on date:, 1,5,2005, filled with average monthly concentration (mg/L):, 51.3134, to get load of (kg/d):, 5925.5736 
missing data:, sediment, on date:, 1,6,2005, filled with average monthly concentration (mg/L):, 51.3979, to get load of (kg/d):, 5947.9058 
missing data:, sediment, on date:, 1,7,2005, filled with average monthly concentration (mg/L):, 46.9196, to get load of (kg/d):, 4821.2722 
missing data:, sediment, on date:, 1,8,2005, filled with average monthly concentration (mg/L):, 41.8499, to get load of (kg/d):, 3685.9963 
missing data:, sediment, on date:, 1,9,2005, filled with average monthly concentration (mg/L):, 36.9492, to get load of (kg/d):, 2730.0446 
missing data:, sediment, on date:, 1,10,2005, filled with average monthly concentration (mg/L):, 30.612, to get load of (kg/d):, 1700.1067 
missing data:, sediment, on date:, 1,11,2005, filled with average monthly concentration (mg/L):, 27.3167, to get load of (kg/d):, 1256.4482 
missing data:, sediment, on date:, 1,12,2005, filled with average monthly concentration (mg/L):, 42.6949, to get load of (kg/d):, 3864.8728 
missing data:, sediment, on date:, 1,13,2005, filled with average monthly concentration (mg/L):, 72.2682, to get load of (kg/d):, 12730.2647 
missing data:, sediment, on date:, 1,14,2005, filled with average monthly concentration (mg/L):, 85.9564, to get load of (kg/d):, 18548.3218 
missing data:, sediment, on date:, 1,15,2005, filled with average monthly concentration (mg/L):, 80.6332, to get load of (kg/d):, 16156.8106 
missing data:, sediment, on date:, 1,16,2005, filled with average monthly concentration (mg/L):, 120.3203, to get load of (kg/d):, 18457.1424 
missing data:, sediment, on date:, 1,17,2005, filled with average monthly concentration (mg/L):, 111.2993, to get load of (kg/d):, 11300.525 
missing data:, sediment, on date:, 1,18,2005, filled with average monthly concentration (mg/L):, 431.0335, to get load of (kg/d):, 29000.2426 
missing data:, sediment, on date:, 1,19,2005, filled with average monthly concentration (mg/L):, 187.308, to get load of (kg/d):, 9852.64 
missing data:, sediment, on date:, 1,20,2005, filled with average monthly concentration (mg/L):, 83.9921, to get load of (kg/d):, 3267.3321 
missing data:, sediment, on date:, 1,21,2005, filled with average monthly concentration (mg/L):, 54.1056, to get load of (kg/d):, 1376.6815 
missing data:, sediment, on date:, 1,22,2005, filled with average monthly concentration (mg/L):, 37.6824, to get load of (kg/d):, 629.6763 
missing data:, sediment, on date:, 5,25,2005, filled with average monthly concentration (mg/L):, 33.2039, to get load of (kg/d):, 265.6405 
missing data:, sediment, on date:, 5,26,2005, filled with average monthly concentration (mg/L):, 33.2444, to get load of (kg/d):, 305.8184 
missing data:, sediment, on date:, 6,28,2005, filled with average monthly concentration (mg/L):, 42.5886, to get load of (kg/d):, 35.5309 
missing data:, sediment, on date:, 8,12,2005, filled with average monthly concentration (mg/L):, 33.4465, to get load of (kg/d):, 40.9146 
missing data:, sediment, on date:, 8,13,2005, filled with average monthly concentration (mg/L):, 31.7561, to get load of (kg/d):, 29.6013 
missing data:, sediment, on date:, 8,14,2005, filled with average monthly concentration (mg/L):, 32.7435, to get load of (kg/d):, 29.1598 
missing data:, sediment, on date:, 9,9,2005, filled with average monthly concentration (mg/L):, 30.014, to get load of (kg/d):, 26.4353 
missing data:, sediment, on date:, 9,10,2005, filled with average monthly concentration (mg/L):, 29.5859, to get load of (kg/d):, 20.919 
missing data:, sediment, on date:, 9,11,2005, filled with average monthly concentration (mg/L):, 28.4486, to get load of (kg/d):, 16.7739 
missing data:, sediment, on date:, 10,1,2005, filled with average monthly concentration (mg/L):, 52.2531, to get load of (kg/d):, 556.1079 
missing data:, sediment, on date:, 10,2,2005, filled with average monthly concentration (mg/L):, 43.7973, to get load of (kg/d):, 298.9572 
missing data:, sediment, on date:, 10,11,2005, filled with average monthly concentration (mg/L):, 27.3872, to get load of (kg/d):, 27.0029 
