missing data:, DRP, on date:, 5,4,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 55.1982 
missing data:, DRP, on date:, 5,5,2004, filled with average monthly concentration (mg/L):, 0.002455, to get load of (kg/d):, 50.9337 
missing data:, DRP, on date:, 5,6,2004, filled with average monthly concentration (mg/L):, 0.003165, to get load of (kg/d):, 44.0599 
missing data:, DRP, on date:, 5,7,2004, filled with average monthly concentration (mg/L):, 0.004455, to get load of (kg/d):, 47.8487 
missing data:, DRP, on date:, 5,8,2004, filled with average monthly concentration (mg/L):, 0.004935, to get load of (kg/d):, 65.4402 
missing data:, DRP, on date:, 5,9,2004, filled with average monthly concentration (mg/L):, 0.013415, to get load of (kg/d):, 384.0029 
missing data:, DRP, on date:, 5,10,2004, filled with average monthly concentration (mg/L):, 0.022798, to get load of (kg/d):, 421.122 
missing data:, DRP, on date:, 5,11,2004, filled with average monthly concentration (mg/L):, 0.030328, to get load of (kg/d):, 503.821 
missing data:, DRP, on date:, 5,12,2004, filled with average monthly concentration (mg/L):, 0.040397, to get load of (kg/d):, 561.3733 
missing data:, DRP, on date:, 5,13,2004, filled with average monthly concentration (mg/L):, 0.05291, to get load of (kg/d):, 666.6577 
missing data:, DRP, on date:, 5,14,2004, filled with average monthly concentration (mg/L):, 0.064347, to get load of (kg/d):, 1083.1096 
missing data:, DRP, on date:, 5,15,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 1088.829 
missing data:, DRP, on date:, 5,16,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 969.3006 
missing data:, DRP, on date:, 5,17,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 827.3606 
missing data:, DRP, on date:, 5,18,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 733.979 
missing data:, DRP, on date:, 5,19,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 1073.8879 
missing data:, DRP, on date:, 5,23,2004, filled with average monthly concentration (mg/L):, 0.076337, to get load of (kg/d):, 4146.1411 
missing data:, DRP, on date:, 7,2,2004, filled with average monthly concentration (mg/L):, 0.05011, to get load of (kg/d):, 145.8913 
missing data:, DRP, on date:, 7,3,2004, filled with average monthly concentration (mg/L):, 0.03612, to get load of (kg/d):, 90.1376 
missing data:, DRP, on date:, 7,4,2004, filled with average monthly concentration (mg/L):, 0.02558, to get load of (kg/d):, 76.9775 
missing data:, DRP, on date:, 7,6,2004, filled with average monthly concentration (mg/L):, 0.01183, to get load of (kg/d):, 40.2307 
missing data:, DRP, on date:, 7,7,2004, filled with average monthly concentration (mg/L):, 0.00751, to get load of (kg/d):, 43.7295 
missing data:, DRP, on date:, 7,8,2004, filled with average monthly concentration (mg/L):, 0.00577, to get load of (kg/d):, 23.1514 
missing data:, DRP, on date:, 7,9,2004, filled with average monthly concentration (mg/L):, 0.005, to get load of (kg/d):, 21.6522 
missing data:, DRP, on date:, 7,10,2004, filled with average monthly concentration (mg/L):, 0.00631, to get load of (kg/d):, 23.9287 
missing data:, DRP, on date:, 7,11,2004, filled with average monthly concentration (mg/L):, 0.01028, to get load of (kg/d):, 30.4324 
missing data:, DRP, on date:, 8,3,2004, filled with average monthly concentration (mg/L):, 0.09314, to get load of (kg/d):, 603.8652 
missing data:, DRP, on date:, 8,4,2004, filled with average monthly concentration (mg/L):, 0.091415, to get load of (kg/d):, 650.8312 
missing data:, DRP, on date:, 8,5,2004, filled with average monthly concentration (mg/L):, 0.088345, to get load of (kg/d):, 507.9345 
missing data:, DRP, on date:, 8,6,2004, filled with average monthly concentration (mg/L):, 0.084305, to get load of (kg/d):, 1113.7943 
missing data:, DRP, on date:, 8,7,2004, filled with average monthly concentration (mg/L):, 0.080265, to get load of (kg/d):, 856.1909 
missing data:, DRP, on date:, 8,8,2004, filled with average monthly concentration (mg/L):, 0.075165, to get load of (kg/d):, 402.7334 
missing data:, DRP, on date:, 10,1,2004, filled with average monthly concentration (mg/L):, 0.015055, to get load of (kg/d):, 37.2015 
missing data:, DRP, on date:, 10,30,2004, filled with average monthly concentration (mg/L):, 0.021935, to get load of (kg/d):, 64.3987 
missing data:, DRP, on date:, 11,13,2004, filled with average monthly concentration (mg/L):, 0.098915, to get load of (kg/d):, 307.3433 
missing data:, DRP, on date:, 12,3,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 3135.4649 
missing data:, DRP, on date:, 12,4,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 2257.5347 
missing data:, DRP, on date:, 12,5,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 1586.5452 
missing data:, DRP, on date:, 12,6,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 1277.1794 
missing data:, DRP, on date:, 12,7,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 1479.9394 
missing data:, DRP, on date:, 12,8,2004, filled with average monthly concentration (mg/L):, 0.085438, to get load of (kg/d):, 4724.1004 
missing data:, DRP, on date:, 12,9,2004, filled with average monthly concentration (mg/L):, 0.085668, to get load of (kg/d):, 5554.2332 
missing data:, DRP, on date:, 12,10,2004, filled with average monthly concentration (mg/L):, 0.087028, to get load of (kg/d):, 3917.7472 
missing data:, DRP, on date:, 12,11,2004, filled with average monthly concentration (mg/L):, 0.090738, to get load of (kg/d):, 3529.7654 
missing data:, DRP, on date:, 12,12,2004, filled with average monthly concentration (mg/L):, 0.095662, to get load of (kg/d):, 3861.7113 
