missing data:, TN, on date:, 10,31,2002, filled with average monthly concentration (mg/L):, 1.0236, to get load of (kg/d):, 1440.0278 
missing data:, TN, on date:, 11,1,2002, filled with average monthly concentration (mg/L):, 1.0236, to get load of (kg/d):, 1139.5003 
missing data:, TN, on date:, 11,3,2002, filled with average monthly concentration (mg/L):, 1.0523, to get load of (kg/d):, 342.404 
missing data:, TN, on date:, 11,5,2002, filled with average monthly concentration (mg/L):, 1.4325, to get load of (kg/d):, 532.7332 
missing data:, TN, on date:, 11,6,2002, filled with average monthly concentration (mg/L):, 1.6259, to get load of (kg/d):, 1734.3293 
missing data:, TN, on date:, 11,9,2002, filled with average monthly concentration (mg/L):, 1.8279, to get load of (kg/d):, 988.3558 
missing data:, TN, on date:, 11,10,2002, filled with average monthly concentration (mg/L):, 2.0472, to get load of (kg/d):, 2193.76 
missing data:, TN, on date:, 1,25,2003, filled with average monthly concentration (mg/L):, 14.0166, to get load of (kg/d):, 21947.2262 
missing data:, TN, on date:, 4,11,2003, filled with average monthly concentration (mg/L):, 12.2051, to get load of (kg/d):, 435964.7169 
missing data:, TN, on date:, 5,16,2003, filled with average monthly concentration (mg/L):, 10.0521, to get load of (kg/d):, 494323.2775 
missing data:, TN, on date:, 5,17,2003, filled with average monthly concentration (mg/L):, 9.5963, to get load of (kg/d):, 326345.3566 
missing data:, TN, on date:, 6,6,2003, filled with average monthly concentration (mg/L):, 6.6157, to get load of (kg/d):, 34313.8604 
missing data:, TN, on date:, 6,7,2003, filled with average monthly concentration (mg/L):, 6.7119, to get load of (kg/d):, 33006.3507 
missing data:, TN, on date:, 6,8,2003, filled with average monthly concentration (mg/L):, 6.8602, to get load of (kg/d):, 32057.3826 
missing data:, TN, on date:, 8,29,2003, filled with average monthly concentration (mg/L):, 1.9428, to get load of (kg/d):, 10551.9935 
missing data:, TN, on date:, 8,30,2003, filled with average monthly concentration (mg/L):, 2.0616, to get load of (kg/d):, 8221.658 
missing data:, TN, on date:, 8,31,2003, filled with average monthly concentration (mg/L):, 2.1881, to get load of (kg/d):, 5294.3717 
missing data:, TN, on date:, 9,1,2003, filled with average monthly concentration (mg/L):, 2.3889, to get load of (kg/d):, 11397.1179 
missing data:, TN, on date:, 10,2,2003, filled with average monthly concentration (mg/L):, 4.3821, to get load of (kg/d):, 80730.3179 
missing data:, TN, on date:, 10,10,2003, filled with average monthly concentration (mg/L):, 4.3963, to get load of (kg/d):, 14197.8675 
