year,month,day,TP(kg)
2001,10,24,21690.65
2001,10,25,37802.28
2001,10,26,46984.84
2001,10,27,30450.03
2001,10,28,16487.32
2001,10,29,9039.13
2001,10,30,6025.42
2001,10,31,3692.83
2001,11,1,4064.94
2001,11,2,1794.47
2001,11,3,1533.03
2001,11,4,1527.92
2001,11,5,1300.19
2001,11,6,885.53
2001,11,7,831.50
2001,11,8,859.65
2001,11,9,574.30
2001,11,10,596.35
2001,11,11,530.91
2001,11,12,453.33
2001,11,13,418.25
2001,11,14,361.46
2001,11,15,381.25
2001,11,16,352.54
2001,11,17,388.09
2001,11,18,386.36
2001,11,19,348.55
2001,11,20,300.30
2001,11,21,386.30
2001,11,22,266.02
2001,11,23,282.87
2001,11,24,279.72
2001,11,25,427.87
2001,11,26,339.68
2001,11,27,417.75
2001,11,28,441.59
2001,11,29,643.99
2001,11,30,5958.68
2001,12,1,27250.73
2001,12,2,29178.89
2001,12,3,16667.83
2001,12,4,9216.12
2001,12,5,5875.70
2001,12,6,4033.73
2001,12,7,2986.50
2001,12,8,2072.98
2001,12,9,1488.05
2001,12,10,1142.08
2001,12,11,901.99
2001,12,12,767.98
2001,12,13,726.27
2001,12,14,1057.19
2001,12,15,10725.67
2001,12,16,21602.85
2001,12,17,29511.95
2001,12,18,55761.18
2001,12,19,51704.18
2001,12,20,33676.20
2001,12,21,21568.04
2001,12,22,12491.90
2001,12,23,8288.74
2001,12,24,5655.42
2001,12,25,4014.54
2001,12,26,2533.20
2001,12,27,1928.00
2001,12,28,1190.80
2001,12,29,950.98
2001,12,30,773.83
2001,12,31,690.18
2002,1,1,590.19
2002,1,2,502.84
2002,1,3,460.82
2002,1,4,432.26
2002,1,5,383.46
2002,1,6,352.09
2002,1,7,330.60
2002,1,8,302.73
2002,1,9,290.71
2002,1,10,279.20
2002,1,11,285.81
2002,1,12,329.05
2002,1,13,317.75
2002,1,14,314.73
2002,1,15,287.48
2002,1,16,279.19
2002,1,17,259.53
2002,1,18,266.21
2002,1,19,323.27
2002,1,20,285.40
2002,1,21,210.25
2002,1,22,216.82
2002,1,23,201.70
2002,1,24,197.12
2002,1,25,215.52
2002,1,26,206.39
2002,1,27,268.34
2002,1,28,208.82
2002,1,29,251.26
2002,1,30,1167.33
2002,1,31,18417.59
2002,2,1,59991.16
2002,2,2,68585.41
2002,2,3,60449.75
2002,2,4,45355.99
2002,2,5,27146.06
2002,2,6,15315.99
2002,2,7,10945.25
2002,2,8,7617.74
2002,2,9,4553.56
2002,2,10,3085.97
2002,2,11,2698.13
2002,2,12,2484.24
2002,2,13,1813.37
2002,2,14,1512.36
2002,2,15,1165.25
2002,2,16,939.26
2002,2,17,607.34
2002,2,18,542.75
2002,2,19,472.88
2002,2,20,508.97
2002,2,21,2906.15
2002,2,22,4287.74
2002,2,23,2239.10
2002,2,24,1373.17
2002,2,25,1263.80
2002,2,26,1169.29
2002,2,27,1608.66
2002,2,28,1584.60
2002,3,1,1110.62
2002,3,2,791.39
2002,3,3,7408.32
2002,3,4,24581.62
2002,3,5,20772.76
2002,3,6,11383.54
2002,3,7,6763.06
2002,3,8,4664.03
2002,3,9,4413.46
2002,3,10,11628.85
2002,3,11,16402.06
2002,3,12,10542.31
2002,3,13,6057.46
2002,3,14,4251.57
2002,3,15,3259.32
2002,3,16,2820.52
2002,3,17,2252.81
2002,3,18,1651.61
2002,3,19,996.55
2002,3,20,1097.04
2002,3,21,734.24
2002,3,22,673.26
2002,3,23,602.15
2002,3,24,405.81
2002,3,25,549.61
2002,3,26,489.64
2002,3,27,772.28
2002,3,28,972.21
2002,3,29,1227.64
2002,3,30,24573.10
2002,3,31,85799.32
2002,4,1,86271.82
2002,4,2,32567.21
2002,4,3,34125.89
2002,4,4,28433.10
2002,4,5,19432.47
2002,4,6,13754.89
2002,4,7,9752.28
2002,4,8,7975.66
2002,4,9,28153.51
2002,4,10,43561.92
2002,4,11,33148.55
2002,4,12,20520.09
2002,4,13,29285.77
2002,4,14,40368.50
2002,4,15,34103.78
2002,4,16,24463.27
2002,4,17,17080.33
2002,4,18,11083.19
2002,4,19,6654.31
2002,4,20,4906.19
2002,4,21,4117.40
2002,4,22,2498.12
2002,4,23,1819.64
2002,4,24,1863.14
2002,4,25,1439.27
2002,4,26,1238.26
2002,4,27,877.45
2002,4,28,1157.72
2002,4,29,1595.75
2002,4,30,2799.23
2002,5,1,2358.40
2002,5,2,2708.24
2002,5,3,13211.49
2002,5,4,5614.79
2002,5,5,3390.43
2002,5,6,2511.72
2002,5,7,1541.71
2002,5,8,1451.91
2002,5,9,1658.25
2002,5,10,2396.71
2002,5,11,2158.51
2002,5,12,5453.44
2002,5,13,26266.20
2002,5,14,41846.12
2002,5,15,40582.10
2002,5,16,35195.70
2002,5,17,27155.84
2002,5,18,19099.13
2002,5,19,13182.09
2002,5,20,8312.67
2002,5,21,4474.00
2002,5,22,3019.12
