Year,Month,Day,NO3(mg/L)
1976,2,12,1.5000
1976,2,12,1.5000
1976,2,12,1.2000
1976,2,13,1.3000
1976,2,13,1.3000
1976,2,13,1.2000
1976,2,13,0.9000
1976,2,14,0.8000
1976,2,14,0.4000
1976,2,14,0.8000
1976,2,14,0.6000
1976,2,15,0.8000
1976,2,15,0.7000
1976,2,15,0.8000
1976,2,15,0.8000
1976,2,16,0.9000
1976,2,16,2.8000
1976,2,16,3.1000
1976,2,16,3.2000
1976,2,17,3.1000
1976,2,17,3.0000
1976,2,17,3.3000
1976,2,17,3.6000
1976,2,18,3.8000
1976,2,18,4.0000
1976,2,18,4.2000
1976,2,19,4.3000
1976,2,19,4.4000
1976,2,19,4.5000
1976,2,19,4.6000
1976,2,20,4.6000
1976,2,20,4.6000
1976,2,20,4.5000
1976,2,20,4.7000
1976,2,21,4.7000
1976,2,21,4.6000
1976,2,21,4.7000
1976,2,21,4.8000
1976,2,22,4.7000
1976,2,22,4.9000
1976,2,22,4.9000
1976,2,22,4.9000
1976,2,23,4.8000
1976,2,23,-999.0000
1976,2,24,-999.0000
1976,2,25,-999.0000
1976,2,26,-999.0000
1976,2,27,-999.0000
1976,2,28,-999.0000
1976,2,29,-999.0000
1976,3,1,-999.0000
1976,3,1,-999.0000
1976,3,2,-999.0000
1976,3,2,-999.0000
1976,3,3,0.3000
1976,3,3,0.2000
1976,3,3,0.2000
1976,3,3,0.2000
1976,3,4,0.4000
1976,3,4,0.5000
1976,3,4,0.5000
1976,3,4,0.5000
1976,3,5,0.5000
1976,3,5,0.5000
1976,3,5,0.5000
1976,3,5,0.5000
1976,3,6,0.6000
1976,3,6,0.6000
1976,3,6,0.6000
1976,3,6,0.5000
1976,3,7,0.5000
1976,3,7,0.6000
1976,3,7,0.5000
1976,3,7,0.5000
1976,3,8,0.7000
1976,3,8,4.1000
1976,3,9,3.9000
1976,3,10,3.7000
1976,3,11,3.7000
1976,3,12,3.6000
1976,3,13,3.5000
1976,3,14,3.4000
1976,3,15,3.4000
1976,3,15,3.3000
1976,3,16,3.3000
1976,3,17,3.1000
1976,3,18,3.2000
1976,3,19,3.3000
1976,3,20,3.1000
1976,3,21,3.2000
1976,3,22,3.1000
1976,3,22,3.1000
1976,3,23,3.0000
1976,3,24,3.0000
1976,3,25,3.2000
1976,3,26,3.1000
1976,3,27,3.0000
1976,3,28,2.8000
1976,3,29,2.9000
1976,3,29,3.3000
1976,3,30,2.5000
1976,3,31,3.0000
1976,4,1,2.8000
1976,4,2,2.7500
1976,4,3,2.5500
1976,4,4,2.4500
1976,4,5,2.4000
1976,4,5,2.7000
1976,4,6,2.6000
1976,4,7,2.4000
1976,4,8,2.0000
1976,4,9,1.8000
1976,4,10,1.6000
1976,4,11,1.5000
1976,4,12,1.2000
1976,4,13,1.3000
1976,4,14,1.0000
1976,4,15,1.0000
1976,4,16,0.7000
1976,4,17,0.7000
1976,4,18,0.7000
1976,4,19,0.7000
1976,4,19,0.9000
1976,4,20,0.7000
1976,4,21,0.6000
1976,4,22,0.6000
1976,4,23,0.4000
1976,4,24,0.3000
1976,4,25,1.3000
1976,4,26,3.3000
1976,4,26,3.5000
1976,4,27,4.7000
1976,4,28,3.8000
1976,4,29,4.6000
1976,4,30,7.0000
1976,5,1,6.4000
1976,5,2,6.3000
1976,5,3,6.0000
1976,5,3,6.6000
1976,5,4,6.3000
1976,5,5,5.9000
1976,5,6,5.5000
1976,5,7,5.5000
1976,5,8,5.0000
1976,5,9,6.0000
1976,5,10,4.6000
1976,5,10,5.5000
1976,5,11,4.6000
1976,5,12,3.9000
1976,5,13,4.9000
1976,5,14,6.1000
1976,5,15,6.0000
1976,5,16,5.8000
1976,5,17,5.6000
1976,5,17,5.8000
1976,5,17,5.6000
1976,5,17,5.6000
1976,5,18,6.0000
1976,5,18,7.6000
1976,5,18,9.2000
1976,5,18,8.1000
1976,5,19,9.5000
1976,5,19,8.7000
1976,5,20,6.6000
1976,5,21,5.3000
1976,5,22,4.7000
1976,5,23,4.3000
1976,5,24,4.1000
1976,5,24,4.1000
1976,5,25,4.2000
1976,5,26,4.3000
1976,5,27,4.0000
1976,5,28,3.8000
1976,5,29,3.5000
1976,5,30,3.0000
1976,5,31,2.8000
1976,5,31,3.1000
1976,5,31,3.1000
1976,5,31,2.9000
1976,6,1,2.9000
1976,6,1,2.9000
1976,6,1,2.7000
1976,6,1,2.8000
1976,6,2,3.0000
1976,6,2,2.9000
1976,6,2,2.9000
1976,6,2,3.1000
1976,6,3,3.1000
1976,6,3,3.6000
1976,6,3,2.9000
1976,6,3,2.9000
1976,6,4,3.5000
1976,6,4,3.6000
1976,6,4,3.1000
1976,6,4,3.2000
1976,6,5,3.7000
1976,6,5,4.2000
1976,6,5,4.3000
1976,6,5,4.3000
1976,6,6,4.3000
1976,6,6,5.1000
1976,6,6,7.3000
1976,6,7,8.4000
1976,6,7,10.1000
1976,6,7,10.4000
1976,6,7,10.8000
1976,6,8,11.0000
1976,6,8,11.3000
1976,6,8,10.9000
1976,6,8,10.8000
1976,6,9,10.3000
1976,6,9,10.8000
1976,6,9,10.7000
1976,6,9,10.6000
1976,6,10,10.3000
1976,6,10,10.6000
1976,6,10,10.6000
1976,6,10,10.5000
1976,6,11,10.6000
1976,6,11,11.2000
1976,6,11,11.5000
1976,6,11,11.8000
1976,6,12,12.0000
1976,6,12,12.1000
1976,6,12,12.3000
1976,6,12,12.5000
1976,6,13,12.5000
1976,6,13,12.7000
1976,6,13,13.0000
1976,6,13,13.2000
1976,6,14,13.7000
1976,6,14,11.8000
1976,6,15,13.0000
1976,6,16,13.1000
1976,6,17,13.1000
1976,6,18,12.6000
1976,6,19,13.1000
1976,6,20,12.8000
1976,6,21,11.6000
1976,6,21,13.7000
1976,6,21,13.3000
1976,6,22,12.5000
1976,6,22,12.6000
1976,6,23,12.7000
1976,6,23,12.3000
1976,6,24,12.6000
1976,6,24,11.9000
1976,6,25,11.2000
1976,6,25,10.9000
1976,6,26,10.2000
1976,6,26,9.4000
1976,6,27,9.0000
1976,6,27,7.4000
1976,6,28,7.2000
1976,6,28,4.9000
1976,6,28,5.5000
1976,6,29,5.3000
1976,6,29,5.1000
1976,6,30,4.6000
1976,6,30,3.1000
1976,7,1,2.0000
1976,7,1,2.0000
1976,7,2,2.2000
1976,7,2,2.2000
1976,7,3,2.5000
1976,7,3,2.9000
1976,7,4,3.6000
1976,7,4,3.6000
1976,7,5,3.7000
1976,7,5,4.8000
1976,7,5,5.2000
1976,7,6,6.3000
1976,7,6,6.5000
1976,7,7,6.3000
1976,7,7,6.4000
1976,7,8,6.3000
1976,7,8,6.3000
1976,7,9,6.3000
1976,7,9,6.0000
1976,7,10,5.7000
1976,7,10,5.4000
1976,7,11,5.0000
1976,7,11,5.4000
1976,7,12,5.1000
1976,7,12,4.6000
1976,7,13,3.9000
1976,7,13,4.6000
1976,7,14,4.4000
1976,7,14,4.5000
1976,7,15,4.5000
1976,7,15,4.4000
1976,7,16,4.2000
1976,7,16,3.6000
1976,7,17,3.9000
1976,7,17,4.2000
1976,7,18,4.2000
1976,7,18,4.2000
1976,7,19,4.1000
1976,7,19,4.1000
1976,7,19,5.1000
1976,7,20,4.3000
1976,7,20,4.6000
1976,7,21,4.3000
1976,7,21,4.2000
1976,7,22,3.8000
1976,7,22,3.6000
1976,7,23,3.3000
1976,7,23,3.0000
1976,7,23,2.8000
1976,7,23,2.7000
1976,7,24,2.7000
1976,7,24,2.7000
1976,7,24,2.7000
1976,7,24,2.6000
1976,7,25,2.6000
1976,7,25,2.5000
1976,7,25,2.4000
1976,7,25,2.4000
1976,7,26,2.2000
1976,7,26,2.3000
1976,7,26,3.0000
1976,7,27,2.6000
1976,7,27,2.5000
1976,7,28,2.1000
1976,7,28,2.1000
1976,7,29,1.7000
1976,7,29,1.5000
1976,7,30,1.3000
1976,7,30,1.1000
1976,7,31,1.0000
1976,7,31,1.0000
1976,8,1,0.8000
1976,8,1,0.8000
1976,8,2,0.7000
1976,8,2,0.7000
1976,8,2,1.2000
1976,8,3,1.3000
1976,8,3,1.3000
1976,8,3,1.1000
1976,8,3,1.2000
1976,8,4,1.1000
1976,8,4,1.0000
1976,8,4,0.8000
1976,8,4,0.6000
1976,8,5,0.7000
1976,8,5,0.7000
1976,8,5,0.6000
1976,8,5,0.5000
1976,8,6,0.5000
1976,8,6,0.5000
1976,8,6,0.4000
1976,8,6,0.4000
1976,8,7,0.5000
1976,8,7,0.4000
1976,8,7,0.4000
1976,8,7,0.4000
1976,8,8,0.4000
1976,8,8,0.4000
1976,8,8,0.2000
1976,8,9,0.3000
1976,8,30,0.0200
1976,8,31,0.2600
1976,9,1,0.3000
1976,9,2,0.1800
1976,9,3,0.1100
1976,9,4,0.0700
1976,9,5,0.0700
1976,9,6,0.0400
1976,9,6,0.2800
1976,9,7,0.1900
1976,9,8,0.0600
1976,9,9,0.0600
1976,9,10,0.0600
1976,9,11,0.0700
1976,9,12,0.0500
1976,9,13,0.0400
1976,9,13,0.3800
1976,9,14,0.2000
1976,9,14,0.1200
1976,9,15,0.2100
1976,9,15,0.1200
1976,9,16,0.1600
1976,9,16,0.0900
1976,9,17,0.1500
1976,9,17,0.1500
1976,9,18,0.1300
1976,9,18,0.1000
1976,9,19,0.1300
1976,9,19,0.0700
1976,9,20,-999.0000
1976,9,20,0.0300
1976,9,20,0.1400
1976,9,21,0.0900
1976,9,21,0.1200
1976,9,22,0.0800
1976,9,22,0.0400
1976,9,23,0.0500
1976,9,23,0.0400
1976,9,24,0.0400
1976,9,25,0.0500
1976,9,25,0.0300
1976,9,26,0.0300
1976,9,26,0.0500
1976,9,27,0.0400
1976,9,27,0.0400
1976,9,27,0.2200
1976,9,28,0.1900
1976,9,28,0.1800
1976,9,29,0.0500
1976,9,29,0.0400
1976,9,30,0.0300
1976,9,30,-999.0000
1976,10,1,-999.0000
1976,10,1,-999.0000
1976,10,2,-999.0000
1976,10,2,-999.0000
1976,10,3,-999.0000
1976,10,3,-999.0000
1976,10,4,-999.0000
1976,10,4,-999.0000
1976,10,4,0.2500
1976,10,5,0.2700
1976,10,6,0.2000
1976,10,7,0.2500
1976,10,8,0.1300
1976,10,9,0.0600
1976,10,10,0.0800
1976,10,11,0.0200
1976,10,11,0.1700
1976,10,12,0.1400
1976,10,13,0.0200
1976,10,14,0.0100
1976,10,15,0.0100
1976,10,16,0.0100
1976,10,17,0.0100
1976,10,18,0.0100
1976,10,18,-999.0000
1976,10,19,-999.0000
1976,10,20,0.0200
1976,10,21,-999.0000
1976,10,21,0.0100
1976,10,22,-999.0000
1976,10,22,-999.0000
1976,10,22,-999.0000
1976,10,23,-999.0000
1976,10,24,-999.0000
1976,10,25,-999.0000
1976,10,25,0.0100
1976,10,26,0.0100
1976,10,27,0.0300
1976,10,28,0.0500
1976,10,29,0.3000
1976,10,30,0.3500
1976,10,31,0.3500
1976,11,1,0.3600
1976,11,1,0.3800
1976,11,2,0.4100
1976,11,3,0.4400
1976,11,4,0.4300
1976,11,5,0.4300
1976,11,6,0.4600
1976,11,7,0.4700
1976,11,8,0.4400
1976,11,8,0.4300
1976,11,9,0.4400
1976,11,10,0.4500
1976,11,11,0.4600
1976,11,12,0.4300
1976,11,13,0.4500
1976,11,14,0.4400
1976,11,15,0.4600
1976,11,15,0.4400
1976,11,16,0.4200
1976,11,17,0.4500
1976,11,18,0.5100
1976,11,19,0.8300
1976,11,20,1.0400
1976,11,21,1.1700
1976,11,22,1.2000
1976,11,22,1.4500
1976,11,23,1.1800
1976,11,24,1.1700
1976,11,25,1.1300
1976,11,26,1.1800
1976,11,27,1.1400
1976,11,28,1.0800
1976,11,29,1.0500
1976,11,29,0.9700
1976,11,30,1.1300
1976,12,1,1.0900
1976,12,2,1.0600
1976,12,3,1.0600
1976,12,4,1.0300
1976,12,5,1.0900
1976,12,6,1.1200
1976,12,6,0.7100
1976,12,7,0.9600
1976,12,8,0.9800
1976,12,9,0.9700
1976,12,10,0.9400
1976,12,11,0.9800
1976,12,12,0.9600
1976,12,13,0.9200
1976,12,13,1.3100
1976,12,14,1.1500
1976,12,15,1.1100
1976,12,16,0.8900
1976,12,17,1.0700
1976,12,18,1.0700
1976,12,19,1.0700
1976,12,20,1.0500
1976,12,20,1.1300
1976,12,21,1.1700
1976,12,22,1.3300
1976,12,23,1.4500
1976,12,24,1.5800
1976,12,25,1.7400
