year,month,day,nitrate(kg)
2002,3,31,622056.96
2002,4,1,634032.92
2002,4,2,540121.44
2002,4,3,509389.24
2002,4,4,413216.14
2002,4,5,323665.10
2002,4,6,246454.57
2002,4,7,182105.66
2002,4,8,152968.62
2002,4,9,303864.18
2002,4,10,355886.45
2002,4,11,333450.57
2002,4,12,245619.47
2002,4,13,274926.95
2002,4,14,318943.22
2002,4,15,280189.53
2002,4,16,238335.21
2002,4,17,186461.37
2002,4,18,140834.44
2002,4,19,103661.24
2002,4,20,91235.10
2002,4,21,76632.49
2002,4,22,49925.47
2002,4,23,42215.59
2002,4,24,44437.57
2002,4,25,28972.30
2002,4,26,23203.04
2002,4,27,21029.75
2002,4,28,25883.26
2002,4,29,39700.76
2002,4,30,58507.56
2002,5,1,68453.11
2002,5,2,99944.89
2002,5,3,223708.38
2002,5,4,146481.86
2002,5,5,91779.05
2002,5,6,53674.60
2002,5,7,43806.35
2002,5,8,46099.77
2002,5,9,57519.88
2002,5,10,87694.91
2002,5,11,76402.51
2002,5,12,108493.21
2002,5,13,365667.84
2002,5,14,410330.00
2002,5,15,487665.31
2002,5,16,421807.69
2002,5,17,308331.38
2002,5,18,250073.05
2002,5,19,201579.96
2002,5,20,140834.44
2002,5,21,93918.99
2002,5,22,78682.96
2002,5,23,52251.92
2002,5,24,44625.46
2002,5,25,36582.61
2002,5,26,35529.53
2002,5,27,46988.85
2002,5,28,40885.88
2002,5,29,32487.53
2002,5,30,35776.46
2002,5,31,55062.54
2002,6,1,53690.10
2002,6,2,29501.25
2002,6,3,25309.29
2002,6,4,31520.40
2002,6,5,29636.79
2002,6,6,70083.51
2002,6,7,90440.70
2002,6,8,72544.27
2002,6,9,50658.71
2002,6,10,30612.11
2002,6,11,23738.10
2002,6,12,22969.39
2002,6,13,20218.71
2002,6,14,23067.50
2002,6,15,22549.56
2002,6,16,18749.30
2002,6,17,18133.50
2002,6,18,14226.57
2002,6,19,11541.46
2002,6,20,11141.69
2002,6,21,9058.19
2002,6,22,9148.22
2002,6,23,5809.24
2002,6,24,5189.36
2002,6,25,4432.31
2002,6,26,7407.00
2002,6,27,12673.00
2002,6,28,24128.82
2002,6,29,31927.76
2002,6,30,26027.61
2002,7,1,15407.04
2002,7,2,6861.17
2002,7,3,4335.13
2002,7,4,3073.14
2002,7,5,2328.74
2002,7,6,1808.77
2002,7,7,1427.43
2002,7,8,1467.88
2002,7,9,1949.67
2002,7,10,1459.87
