year,month,day,flow (cms),,,,,
2001,5,1,69.37616,,,,,
2001,5,2,59.182112,,,,,
2001,5,3,53.80192,,,,,
2001,5,4,51.536576,,,,,
2001,5,5,38.794016,,,,,
2001,5,6,41.625696,,,,,
2001,5,7,47.289056,,,,,
2001,5,8,60.314784,,,,,
2001,5,9,63.7128,,,,,
2001,5,10,52.38608,,,,,
2001,5,11,43.607872,,,,,
2001,5,12,41.342528,,,,,
2001,5,13,34.829664,,,,,
2001,5,14,36.528672,,,,,
2001,5,15,84.667232,,,,,
2001,5,16,416.25696,,,,,
2001,5,17,495.544,,,,,
2001,5,18,421.92032,,,,,
2001,5,19,523.8608,,,,,
2001,5,20,523.8608,,,,,
2001,5,21,424.752,,,,,
2001,5,22,325.6432,,,,,
2001,5,23,228.516576,,,,,
2001,5,24,205.863136,,,,,
2001,5,25,254.568032,,,,,
2001,5,26,385.10848,,,,,
2001,5,27,571.99936,,,,,
2001,5,28,676.77152,,,,,
2001,5,29,563.50432,,,,,
2001,5,30,413.42528,,,,,
2001,5,31,262.496736,,,,,
2001,6,1,221.720544,,,,,
2001,6,2,197.084928,,,,,
2001,6,3,275.522464,,,,,
2001,6,4,242.391808,,,,,
2001,6,5,190.005728,,,,,
2001,6,6,311.4848,,,,,
2001,6,7,586.15776,,,,,
2001,6,8,487.04896,,,,,
2001,6,9,325.6432,,,,,
2001,6,10,226.817568,,,,,
2001,6,11,165.370112,,,,,
2001,6,12,112.417696,,,,,
2001,6,13,101.94048,,,,,
2001,6,14,87.498912,,,,,
2001,6,15,72.20784,,,,,
2001,6,16,73.057344,,,,,
2001,6,17,58.615776,,,,,
2001,6,18,56.067264,,,,,
2001,6,19,51.819744,,,,,
2001,6,20,42.4752,,,,,
2001,6,21,51.536576,,,,,
2001,6,22,72.491008,,,,,
2001,6,23,64.279136,,,,,
2001,6,24,70.792,,,,,
2001,6,25,85.233568,,,,,
2001,6,26,71.358336,,,,,
2001,6,27,57.766272,,,,,
2001,6,28,48.988064,,,,,
2001,6,29,39.64352,,,,,
2001,6,30,40.209856,,,,,
2001,7,1,32.56432,,,,,
2001,7,2,27.4956128,,,,,
2001,7,3,27.4106624,,,,,
2001,7,4,26.9859104,,,,,
2001,7,5,23.6162112,,,,,
2001,7,6,23.8144288,,,,,
2001,7,7,24.8621504,,,,,
2001,7,8,25.7399712,,,,,
2001,7,9,21.379184,,,,,
2001,7,10,23.5595776,,,,,
2001,7,11,21.2092832,,,,,
2001,7,12,19.8783936,,,,,
2001,7,13,19.1704736,,,,,
2001,7,14,15.291072,,,,,
2001,7,15,13.7902816,,,,,
2001,7,16,15.6308736,,,,,
2001,7,17,15.2344384,,,,,
2001,7,18,9.344544,,,,,
2001,7,19,8.4384064,,,,,
2001,7,20,8.636624,,,,,
2001,7,21,14.1017664,,,,,
2001,7,22,16.5086944,,,,,
2001,7,23,14.6397856,,,,,
2001,7,24,27.0142272,,,,,
2001,7,25,42.4752,,,,,
2001,7,26,64.562304,,,,,
2001,7,27,53.235584,,,,,
2001,7,28,57.199936,,,,,
2001,7,29,46.156384,,,,,
2001,7,30,35.396,,,,,
2001,7,31,22.5401728,,,,,
2001,8,1,25.5983872,,,,,
2001,8,2,24.9754176,,,,,
2001,8,3,17.6696832,,,,,
2001,8,4,21.4924512,,,,,
2001,8,5,17.2166144,,,,,
2001,8,6,12.4027584,,,,,
2001,8,7,12.2894912,,,,,
2001,8,8,9.9391968,,,,,
2001,8,9,7.6738528,,,,,
2001,8,10,9.9391968,,,,,
2001,8,11,6.0314784,,,,,
2001,8,12,3.5962336,,,,,
2001,8,13,8.2685056,,,,,
2001,8,14,8.0136544,,,,,
2001,8,15,5.8898944,,,,,
2001,8,16,7.9003872,,,,,
2001,8,17,15.4609728,,,,,
2001,8,18,6.4279136,,,,,
2001,8,19,6.2580128,,,,,
2001,8,20,5.7766272,,,,,
2001,8,21,3.0298976,,,,,
2001,8,22,9.4578112,,,,,
2001,8,23,27.60888,,,,,
2001,8,24,74.190016,,,,,
2001,8,25,107.887008,,,,,
2001,8,26,56.6336,,,,,
2001,8,27,35.679168,,,,,
2001,8,28,28.883136,,,,,
2001,8,29,24.6072992,,,,,
2001,8,30,16.6785952,,,,,
2001,8,31,12.0912736,,,,,
2001,9,1,8.4100896,,,,,
2001,9,2,14.0734496,,,,,
2001,9,3,13.3938464,,,,,
2001,9,4,11.8364224,,,,,
2001,9,5,9.5144448,,,,,
2001,9,6,5.6067264,,,,,
2001,9,7,6.5694976,,,,,
2001,9,8,5.4651424,,,,,
2001,9,9,5.4368256,,,,,
2001,9,10,15.4043392,,,,,
2001,9,11,20.2181952,,,,,
2001,9,12,30.865312,,,,,
2001,9,13,28.2318496,,,,,
2001,9,14,21.2092832,,,,,
2001,9,15,16.1122592,,,,,
2001,9,16,10.0241472,,,,,
2001,9,17,8.5516736,,,,,
2001,9,18,12.5160256,,,,,
2001,9,19,18.122752,,,,,
2001,9,20,27.5239296,,,,,
2001,9,21,42.192032,,,,,
2001,9,22,75.03952,,,,,
2001,9,23,45.873216,,,,,
2001,9,24,40.493024,,,,,
2001,9,25,37.944512,,,,,
2001,9,26,45.30688,,,,,
2001,9,27,32.56432,,,,,
2001,9,28,29.449472,,,,,
2001,9,29,27.4956128,,,,,
2001,9,30,19.8783936,,,,,
2001,10,1,17.3015648,,,,,
2001,10,2,15.2344384,,,,,
2001,10,3,14.2150336,,,,,
2001,10,4,11.0152352,,,,,
2001,10,5,20.1332448,,,,,
2001,10,6,43.607872,,,,,
2001,10,7,69.092992,,,,,
2001,10,8,107.60384,,,,,
2001,10,9,98.259296,,,,,
2001,10,10,81.552384,,,,,
2001,10,11,68.243488,,,,,
2001,10,12,187.174048,,,,,
2001,10,13,648.45472,,,,,
2001,10,14,631.46464,,,,,
2001,10,15,656.94976,,,,,
2001,10,16,707.92,,,,,
2001,10,17,985.42464,,,,,
2001,10,18,968.43456,,,,,
2001,10,19,750.3952,,,,,
2001,10,20,521.02912,,,,,
2001,10,21,393.60352,,,,,
2001,10,22,362.45504,,,,,
2001,10,23,583.32608,,,,,
2001,10,24,651.2864,,,,,
2001,10,25,812.69216,,,,,
2001,10,26,908.96928,,,,,
2001,10,27,693.7616,,,,,
2001,10,28,450.23712,,,,,
2001,10,29,291.66304,,,,,
2001,10,30,212.942336,,,,,
2001,10,31,158.007744,,,,,
2001,11,1,139.318656,,,,,
2001,11,2,94.578112,,,,,
2001,11,3,85.799904,,,,,
2001,11,4,83.53456,,,,,
2001,11,5,68.526656,,,,,
2001,11,6,57.483104,,,,,
2001,11,7,57.766272,,,,,
2001,11,8,58.04944,,,,,
2001,11,9,45.590048,,,,,
2001,11,10,42.4752,,,,,
2001,11,11,43.89104,,,,,
2001,11,12,39.64352,,,,,
2001,11,13,38.510848,,,,,
2001,11,14,34.546496,,,,,
2001,11,15,36.528672,,,,,
2001,11,16,32.281152,,,,,
2001,11,17,33.696992,,,,,
2001,11,18,31.714816,,,,,
2001,11,19,30.865312,,,,,
2001,11,20,29.73264,,,,,
2001,11,21,28.883136,,,,,
2001,11,22,27.1274944,,,,,
2001,11,23,26.5894752,,,,,
2001,11,24,26.1364064,,,,,
2001,11,25,37.661344,,,,,
2001,11,26,33.98016,,,,,
2001,11,27,43.324704,,,,,
2001,11,28,44.174208,,,,,
2001,11,29,61.447456,,,,,
2001,11,30,249.471008,,,,,
2001,12,1,707.92,,,,,
2001,12,2,688.09824,,,,,
2001,12,3,501.20736,,,,,
2001,12,4,334.13824,,,,,
2001,12,5,249.471008,,,,,
2001,12,6,195.669088,,,,,
2001,12,7,166.502784,,,,,
2001,12,8,129.690944,,,,,
2001,12,9,99.958304,,,,,
2001,12,10,80.136544,,,,,
2001,12,11,65.411808,,,,,
2001,12,12,60.88112,,,,,
2001,12,13,53.235584,,,,,
2001,12,14,63.7128,,,,,
2001,12,15,356.79168,,,,,
2001,12,16,583.32608,,,,,
2001,12,17,693.7616,,,,,
2001,12,18,1059.04832,,,,,
2001,12,19,1053.38496,,,,,
2001,12,20,863.6624,,,,,
2001,12,21,628.63296,,,,,
2001,12,22,441.74208,,,,,
2001,12,23,325.6432,,,,,
2001,12,24,254.001696,,,,,
2001,12,25,185.191872,,,,,
2001,12,26,133.08896,,,,,
2001,12,27,101.94048,,,,,
2001,12,28,73.62368,,,,,
2001,12,29,65.12864,,,,,
2001,12,30,55.21776,,,,,
2001,12,31,49.5544,,,,,
2002,1,1,46.72272,,,,,
2002,1,2,43.89104,,,,,
2002,1,3,41.05936,,,,,
2002,1,4,39.64352,,,,,
2002,1,5,38.22768,,,,,
2002,1,6,36.81184,,,,,
2002,1,7,35.962336,,,,,
2002,1,8,34.829664,,,,,
2002,1,9,34.263328,,,,,
2002,1,10,33.98016,,,,,
2002,1,11,33.413824,,,,,
2002,1,12,40.776192,,,,,
2002,1,13,38.794016,,,,,
2002,1,14,37.095008,,,,,
2002,1,15,38.510848,,,,,
2002,1,16,37.661344,,,,,
2002,1,17,36.81184,,,,,
2002,1,18,37.944512,,,,,
2002,1,19,43.607872,,,,,
2002,1,20,41.342528,,,,,
2002,1,21,31.997984,,,,,
