year,month,day,sediment(t)
2003,3,22,2383.32
2003,3,23,2199.25
2003,3,24,2008.67
2003,3,25,1082.42
2003,3,26,890.14
2003,3,27,437.90
2003,3,28,873.38
2003,3,29,386.81
2003,3,30,764.69
2003,3,31,902.22
2003,4,1,1277.10
2003,4,2,842.99
2003,4,3,532.25
2003,4,4,430.53
2003,4,5,17146.55
2003,4,6,35495.76
2003,4,7,24170.45
2003,4,8,14636.73
2003,4,9,8793.88
2003,4,10,5646.08
2003,4,11,5254.11
2003,4,12,1425.93
2003,4,13,780.08
2003,4,14,622.32
2003,4,15,1131.02
2003,4,16,204.84
2003,4,17,441.65
2003,4,18,166.13
2003,4,19,113.38
2003,4,20,271.85
2003,4,21,143.79
2003,4,22,84.64
2003,4,23,80.50
2003,4,24,113.17
2003,4,25,72.32
2003,4,26,66.36
2003,4,27,78.28
2003,4,28,87.87
2003,4,29,49.11
2003,4,30,51.54
2003,5,1,63.86
2003,5,2,144.05
2003,5,3,1273.22
2003,5,4,565.58
2003,5,5,6737.77
2003,5,6,43109.58
2003,5,7,29808.23
2003,5,8,11810.48
2003,5,9,13727.38
2003,5,10,41048.44
2003,5,11,58677.20
2003,5,12,59349.82
2003,5,13,38360.44
2003,5,14,22192.38
2003,5,15,10581.56
2003,5,16,7615.19
2003,5,17,3773.57
2003,5,18,2163.08
2003,5,19,861.36
2003,5,20,813.04
2003,5,21,805.88
2003,5,22,432.75
2003,5,23,290.56
2003,5,24,279.25
