year,month,day,flow (cms)
1977,3,30,566.336
1977,3,31,453.0688
1977,4,1,368.1184
1977,4,2,396.4352
1977,4,3,481.3856
1977,4,4,424.752
1977,4,5,368.1184
1977,4,6,339.8016
1977,4,7,283.168
1977,4,8,249.18784
1977,4,9,198.2176
1977,4,10,152.91072
1977,4,11,113.2672
1977,4,12,93.44544
1977,4,13,81.552384
1977,4,14,72.774176
1977,4,15,73.906848
1977,4,16,66.261312
1977,4,17,63.429632
1977,4,18,52.669248
1977,4,19,52.952416
1977,4,20,58.898944
1977,4,21,55.500928
1977,4,22,58.615776
1977,4,23,682.43488
1977,4,24,1591.40416
1977,4,25,1381.85984
1977,4,26,931.62272
1977,4,27,586.15776
1977,4,28,373.78176
1977,4,29,231.348256
1977,4,30,225.968064
1977,5,1,189.156224
1977,5,2,164.803776
1977,5,3,272.690784
1977,5,4,373.78176
1977,5,5,631.46464
1977,5,6,594.6528
1977,5,7,436.07872
1977,5,8,302.98976
1977,5,9,201.898784
1977,5,10,140.451328
1977,5,11,121.479072
1977,5,12,99.958304
1977,5,13,82.11872
1977,5,14,58.04944
1977,5,15,60.597952
1977,5,16,48.988064
1977,5,17,43.041536
1977,5,18,45.023712
1977,5,19,32.847488
1977,5,20,34.263328
1977,5,21,29.73264
1977,5,22,28.883136
1977,5,23,27.9769984
1977,5,24,25.8532384
1977,5,25,25.1736352
1977,5,26,21.2376
1977,5,27,23.4746272
1977,5,28,23.927696
1977,5,29,16.3954272
1977,5,30,17.8962176
1977,5,31,19.11384
1977,6,1,19.8783936
1977,6,2,12.459392
1977,6,3,10.6188
1977,6,4,12.6859264
1977,6,5,13.6203808
1977,6,6,13.4787968
1977,6,7,9.9958304
1977,6,8,10.0241472
1977,6,9,15.57424
1977,6,10,18.6324544
1977,6,11,19.0572064
1977,6,12,24.918784
1977,6,13,24.7488832
1977,6,14,27.3540288
1977,6,15,24.4657152
1977,6,16,22.5684896
1977,6,17,24.1259136
1977,6,18,31.14848
1977,6,19,28.2601664
1977,6,20,22.936608
1977,6,21,16.4520608
1977,6,22,16.3954272
1977,6,23,14.6681024
1977,6,24,11.8081056
1977,6,25,12.6576096
1977,6,26,9.5144448
1977,6,27,11.9213728
1977,6,28,23.3047264
1977,6,29,33.413824
1977,6,30,20.1898784
1977,7,1,180.944352
1977,7,2,325.6432
1977,7,3,261.9304
1977,7,4,169.617632
1977,7,5,116.382048
