year,month,day,DRP(kg)
2001,9,6,4.43
2001,9,7,4.46
2001,9,8,3.56
2001,9,9,3.85
2001,9,10,10.97
2001,9,11,16.71
2001,9,12,24.53
2001,9,13,20.98
2001,9,14,24.37
2001,9,15,10.44
2001,9,16,4.94
2001,9,17,6.39
2001,9,18,13.30
2001,9,19,24.90
2001,9,20,26.40
2001,9,21,68.53
2001,9,22,236.64
2001,9,23,49.15
2001,9,24,64.90
2001,9,25,63.60
2001,9,26,78.68
2001,9,27,37.42
2001,9,28,27.23
2001,9,29,19.96
2001,9,30,7.04
2001,10,1,15.40
2001,10,2,15.53
2001,10,3,17.69
2001,10,4,9.23
2001,10,5,12.52
2001,10,6,86.28
2001,10,7,212.52
2001,10,8,762.35
2001,10,9,804.81
2001,10,10,492.52
2001,10,11,727.60
2001,10,12,3254.58
2001,10,13,11819.72
2001,10,14,11678.26
2001,10,15,7140.28
2001,10,16,8027.00
2001,10,17,11222.96
2001,10,18,10982.05
2001,10,19,8658.38
2001,10,20,5881.46
2001,10,21,3842.83
2001,10,22,3538.72
2001,10,23,4535.94
2001,10,24,4940.61
2001,10,25,6258.64
2001,10,26,7293.28
2001,10,27,5660.43
2001,10,28,4197.36
2001,10,29,2958.44
2001,10,30,2257.46
2001,10,31,1422.52
2001,11,1,1253.07
2001,11,2,828.60
2001,11,3,835.46
2001,11,4,814.12
2001,11,5,678.81
2001,11,6,431.59
2001,11,7,334.40
2001,11,8,312.97
2001,11,9,198.52
2001,11,10,230.83
2001,11,11,219.57
2001,11,12,165.78
2001,11,13,205.96
2001,11,14,179.98
2001,11,15,147.70
2001,11,16,116.58
2001,11,17,116.75
2001,11,18,86.32
2001,11,19,22.93
2001,11,20,42.39
2001,11,21,48.91
2001,11,22,36.80
2001,11,23,33.40
2001,11,24,27.55
2001,11,25,36.73
2001,11,26,10.57
2001,11,27,13.10
2001,11,28,7.63
2001,11,29,22.83
2001,11,30,359.96
2001,12,1,1368.04
2001,12,2,2500.93
2001,12,3,3587.04
2001,12,4,3047.66
2001,12,5,2262.12
2001,12,6,1540.12
2001,12,7,1307.67
2001,12,8,898.66
2001,12,9,711.64
2001,12,10,488.82
2001,12,11,343.05
2001,12,12,337.70
2001,12,13,274.59
2001,12,14,264.23
2001,12,15,1449.89
2001,12,16,1844.62
2001,12,17,4004.06
2001,12,18,8482.21
2001,12,19,8036.40
2001,12,20,7805.30
2001,12,21,5583.47
2001,12,22,3954.05
2001,12,23,2807.93
2001,12,24,1990.48
2001,12,25,1601.66
2001,12,26,1080.90
2001,12,27,872.84
2001,12,28,578.86
2001,12,29,499.69
2001,12,30,394.07
2001,12,31,366.07
2002,1,1,332.64
2002,1,2,241.18
2002,1,3,218.88
2002,1,4,205.51
2002,1,5,192.23
2002,1,6,177.47
2002,1,7,159.09
2002,1,8,136.92
2002,1,9,84.37
2002,1,10,104.81
2002,1,11,118.08
2002,1,12,134.23
2002,1,13,133.74
2002,1,14,171.95
2002,1,15,172.69
2002,1,16,162.70
2002,1,17,144.40
2002,1,18,145.23
2002,1,19,176.33
2002,1,20,121.81
2002,1,21,111.97
2002,1,22,103.83
2002,1,23,73.10
2002,1,24,64.69
2002,1,25,68.09
2002,1,26,54.59
2002,1,27,50.74
2002,1,28,25.91
2002,1,29,20.36
2002,1,30,59.50
2002,1,31,1882.32
2002,2,1,8110.38
2002,2,2,10367.27
2002,2,3,9774.72
2002,2,4,9212.59
2002,2,5,6852.97
2002,2,6,4472.58
2002,2,7,3366.43
2002,2,8,2547.17
2002,2,9,1740.47
2002,2,10,1302.41
2002,2,11,865.67
2002,2,12,723.23
2002,2,13,647.39
2002,2,14,616.02
2002,2,15,494.44
2002,2,16,352.43
2002,2,17,278.13
2002,2,18,268.32
2002,2,19,188.23
2002,2,20,234.86
2002,2,21,492.48
2002,2,22,759.10
2002,2,23,616.61
2002,2,24,439.21
2002,2,25,380.54
2002,2,26,379.55
2002,2,27,479.82
2002,2,28,465.93
2002,3,1,413.16
2002,3,2,254.48
2002,3,3,1055.63
2002,3,4,2089.62
2002,3,5,1951.29
2002,3,6,1365.51
2002,3,7,1266.62
2002,3,8,1025.65
2002,3,9,903.90
2002,3,10,1527.23
2002,3,11,1600.87
2002,3,12,1457.77
2002,3,13,966.43
2002,3,14,854.20
2002,3,15,803.08
2002,3,16,821.59
2002,3,17,640.87
2002,3,18,348.78
2002,3,19,184.00
2002,3,20,205.46
2002,3,21,184.87
2002,3,22,123.09
2002,3,23,84.77
2002,3,24,34.86
2002,3,25,103.40
2002,3,26,52.69
2002,3,27,158.09
2002,3,28,223.42
2002,3,29,315.81
2002,3,30,2527.09
2002,3,31,5517.63
2002,4,1,6036.11
2002,4,2,6173.68
2002,4,3,5819.69
2002,4,4,4746.64
2002,4,5,3674.42
2002,4,6,3007.39
2002,4,7,2060.92
2002,4,8,1783.62
2002,4,9,3846.01
2002,4,10,4645.38
2002,4,11,3580.14
2002,4,12,2901.27
2002,4,13,3180.49
2002,4,14,3533.72
2002,4,15,3999.70
2002,4,16,3407.10
2002,4,17,2892.83
2002,4,18,2209.82
2002,4,19,1736.21
2002,4,20,1420.81
2002,4,21,1385.21
2002,4,22,1118.26
2002,4,23,1028.36
2002,4,24,1039.19
2002,4,25,647.67
2002,4,26,403.56
2002,4,27,248.37
2002,4,28,122.39
2002,4,29,132.55
2002,4,30,174.00
2002,5,1,403.57
2002,5,2,1044.37
2002,5,3,3130.08
2002,5,4,1845.91
2002,5,5,1210.40
2002,5,6,517.10
2002,5,7,541.64
2002,5,8,485.50
2002,5,9,576.11
2002,5,10,676.87
2002,5,11,517.01
2002,5,12,1129.22
2002,5,13,3375.55
2002,5,14,4869.28
2002,5,15,5996.63
2002,5,16,6342.96
2002,5,17,3982.86
2002,5,18,3431.20
2002,5,19,2833.65
2002,5,20,2198.39
2002,5,21,1594.09
2002,5,22,1304.44
2002,5,23,844.82
2002,5,24,679.17
2002,5,25,516.11
2002,5,26,483.86
2002,5,27,458.02
2002,5,28,344.93
2002,5,29,330.10
2002,5,30,389.54
2002,5,31,687.30
2002,6,1,653.51
2002,6,2,357.86
2002,6,3,313.42
2002,6,4,430.03
2002,6,5,363.25
2002,6,6,1109.16
2002,6,7,1110.83
2002,6,8,962.65
2002,6,9,669.92
2002,6,10,482.48
2002,6,11,500.97
2002,6,12,523.64
2002,6,13,481.34
2002,6,14,521.45
2002,6,15,494.32
2002,6,16,382.36
2002,6,17,352.17
2002,6,18,202.95
2002,6,19,152.96
2002,6,20,113.95
2002,6,21,82.19
2002,6,22,55.50
2002,6,23,16.89
2002,6,24,4.82
2002,6,25,57.41
2002,6,26,97.94
2002,6,27,167.93
2002,6,28,33.76
2002,6,29,28.14
2002,6,30,37.87
2002,7,1,235.00
2002,7,2,154.08
2002,7,3,134.06
2002,7,4,85.78
2002,7,5,65.33
2002,7,6,36.18
2002,7,7,14.69
2002,7,8,6.05
2002,7,9,24.45
2002,7,10,17.73
2002,7,11,37.49
2002,7,12,23.03
2002,7,13,7.73
2002,7,14,3.41
2002,7,15,8.21
2002,7,16,4.00
2002,7,17,3.20
2002,7,18,2.86
2002,7,19,2.96
2002,7,20,2.49
2002,7,21,2.80
2002,7,22,2.36
2002,7,23,2.35
2002,7,24,1.29
2002,7,25,0.89
2002,7,26,2.42
2002,7,27,1.69
2002,7,28,43.66
2002,7,29,42.39
2002,7,30,165.49
2002,7,31,211.32
2002,8,1,549.09
2002,8,2,103.22
2002,8,3,51.39
2002,8,4,23.33
2002,8,5,27.73
2002,8,6,35.68
2002,8,7,33.51
2002,8,8,36.68
2002,8,9,28.15
2002,8,10,18.27
2002,8,11,14.31
2002,8,12,14.40
2002,8,13,16.29
2002,8,14,25.04
2002,8,15,24.13
2002,8,16,20.73
2002,8,17,19.69
2002,8,18,22.47
2002,8,19,36.22
2002,8,20,21.79
2002,8,21,10.20
2002,8,22,18.73
2002,8,23,21.71
2002,8,24,55.34
2002,8,25,46.71
2002,8,26,35.62
2002,8,27,23.40
2002,8,28,22.67
2002,8,29,12.42
2002,8,30,12.18
2002,8,31,7.84
2002,9,1,5.48
2002,9,2,4.40
2002,9,3,3.88
2002,9,4,8.37
2002,9,5,4.28
2002,9,6,4.19
2002,9,7,4.05
2002,9,8,3.57
2002,9,9,2.37
2002,9,10,3.66
2002,9,11,6.70
2002,9,12,3.83
2002,9,13,3.88
2002,9,14,3.56
2002,9,15,7.36
2002,9,16,7.84
2002,9,17,5.70
2002,9,18,4.26
2002,9,19,7.47
2002,9,20,9.52
2002,9,21,13.73
2002,9,22,8.95
2002,9,23,21.46
2002,9,24,26.56
2002,9,25,23.10
2002,9,26,13.88
2002,9,27,17.72
2002,9,28,22.26
2002,9,29,19.98
2002,9,30,48.69
2002,10,1,55.33
2002,10,2,33.23
2002,10,3,20.38
2002,10,4,19.51
2002,10,5,23.41
2002,10,6,9.54
2002,10,7,7.47
2002,10,8,4.30
2002,10,9,8.27
2002,10,10,7.86
2002,10,11,6.49
2002,10,12,6.11
2002,10,13,7.95
2002,10,14,5.90
2002,10,15,4.37
2002,10,16,5.00
2002,10,17,3.86
2002,10,18,3.07
2002,10,19,3.86
2002,10,20,1.24
2002,10,21,0.98
2002,10,22,1.70
2002,10,23,2.50
2002,10,24,2.25
2002,10,25,2.92
2002,10,26,3.92
2002,10,27,1.56
2002,10,28,0.70
2002,10,29,1.54
2002,10,30,3.35
2002,10,31,1.55
2002,11,1,5.45
2002,11,2,2.01
2002,11,3,0.59
2002,11,4,0.66
2002,11,5,0.30
2002,11,6,2.13
2002,11,7,1.61
2002,11,8,0.67
2002,11,9,0.92
2002,11,10,1.71
2002,11,11,10.01
2002,11,12,23.47
2002,11,13,27.92
2002,11,14,22.13
2002,11,15,34.84
2002,11,16,27.01
2002,11,17,73.08
2002,11,18,131.32
2002,11,19,162.49
2002,11,20,104.35
2002,11,21,101.33
2002,11,22,115.16
2002,11,23,132.51
2002,11,24,153.52
2002,11,25,153.57
2002,11,26,198.25
2002,11,27,227.01
2002,11,28,231.65
2002,11,29,192.14
2002,11,30,157.82
2002,12,1,152.17
2002,12,2,145.78
2002,12,3,179.93
2002,12,4,178.82
2002,12,5,186.53
2002,12,6,145.05
2002,12,7,121.24
2002,12,8,70.90
2002,12,9,67.55
2002,12,10,81.28
2002,12,11,78.08
2002,12,12,52.54
2002,12,13,38.59
2002,12,14,36.99
2002,12,15,31.14
2002,12,16,35.46
2002,12,17,54.49
2002,12,18,49.89
2002,12,19,107.05
2002,12,20,1244.79
2002,12,21,1868.10
2002,12,22,2372.93
2002,12,23,1593.11
2002,12,24,556.01
2002,12,25,481.93
2002,12,26,398.97
2002,12,27,425.51
2002,12,28,394.54
2002,12,29,289.75
2002,12,30,254.29
2002,12,31,1170.89
2003,1,1,4186.70
2003,1,2,4194.50
2003,1,3,2873.62
2003,1,4,1875.37
2003,1,5,1647.30
2003,1,6,1016.60
2003,1,7,726.63
2003,1,8,661.55
2003,1,9,534.33
2003,1,10,461.42
2003,1,11,694.34
2003,1,12,1157.72
2003,1,13,753.54
2003,1,14,425.21
2003,1,15,337.77
2003,1,16,309.37
2003,1,17,247.50
2003,1,18,208.45
2003,1,19,183.20
2003,1,20,175.51
2003,1,21,174.17
2003,1,22,174.74
2003,1,23,155.98
2003,1,24,127.46
2003,1,25,142.49
2003,1,26,159.10
2003,1,27,161.54
2003,1,28,162.06
2003,1,29,160.09
2003,1,30,150.02
2003,1,31,135.96
2003,2,1,132.27
2003,2,2,108.86
2003,2,3,99.51
2003,2,4,175.27
2003,2,5,410.51
2003,2,6,966.10
2003,2,7,1116.44
2003,2,8,996.15
2003,2,9,2569.63
2003,2,10,929.02
2003,2,11,491.76
2003,2,12,321.71
2003,2,13,255.01
2003,2,14,211.01
2003,2,15,186.43
2003,2,16,147.28
2003,2,17,342.78
2003,2,18,409.80
2003,2,19,246.01
2003,2,20,171.22
2003,2,21,120.06
2003,2,22,223.71
2003,2,23,681.39
2003,2,24,922.90
2003,2,25,1293.01
2003,2,26,1456.20
2003,2,27,1089.95
2003,2,28,989.88
2003,3,1,751.98
2003,3,2,657.98
2003,3,3,565.30
2003,3,4,449.17
2003,3,5,406.86
2003,3,6,487.65
2003,3,7,632.98
2003,3,8,1877.77
2003,3,9,1545.25
2003,3,10,1986.13
2003,3,11,3627.78
2003,3,12,3501.04
2003,3,13,4195.38
2003,3,14,6170.25
2003,3,15,8891.82
2003,3,16,10318.17
2003,3,17,10211.60
2003,3,18,7341.39
2003,3,19,6599.98
2003,3,20,4658.37
2003,3,21,3731.80
2003,3,22,3473.15
2003,3,23,3340.26
2003,3,24,2381.37
